model,method,has_negative,negative_mass
LLaVA-1.5,VASE,True,0.49978917837142944
LLaVA-1.5,VASE,True,0.4990329146385193
LLaVA-1.5,VASE,True,0.49989965558052063
LLaVA-1.5,VASE,True,0.49999120831489563
LLaVA-1.5,VASE,True,0.4977008104324341
LLaVA-1.5,VASE,True,0.4787868559360504
LLaVA-1.5,VASE,True,0.4999999403953552
LLaVA-1.5,VASE,True,0.5000020861625671
LLaVA-1.5,VASE,True,0.4999987781047821
LLaVA-1.5,VASE,True,0.0006702868267893791
LLaVA-1.5,VASE,True,0.49874335527420044
LLaVA-1.5,VASE,True,0.4965173602104187
LLaVA-1.5,VASE,True,0.4995711147785187
LLaVA-1.5,VASE,True,0.49999985098838806
LLaVA-1.5,VASE,True,0.4976806044578552
LLaVA-1.5,VASE,True,0.49996623396873474
LLaVA-1.5,VASE,True,0.1189388781785965
LLaVA-1.5,VASE,True,0.5000022053718567
LLaVA-1.5,VASE,True,0.495591938495636
LLaVA-1.5,VASE,True,0.48831886053085327
LLaVA-1.5,VASE,True,0.49963897466659546
LLaVA-1.5,VASE,True,0.49055323004722595
LLaVA-1.5,VASE,True,0.45047467947006226
LLaVA-1.5,VASE,True,0.48800310492515564
LLaVA-1.5,VASE,True,0.47770190238952637
LLaVA-1.5,VASE,True,0.49999624490737915
LLaVA-1.5,VASE,True,0.4880513548851013
LLaVA-1.5,VASE,True,0.4999924302101135
LLaVA-1.5,VASE,True,0.499720960855484
LLaVA-1.5,VASE,True,0.4948377013206482
LLaVA-1.5,VASE,True,0.265228807926178
LLaVA-1.5,VASE,True,0.49888548254966736
LLaVA-1.5,VASE,True,0.49976468086242676
LLaVA-1.5,VASE,True,0.4999980330467224
LLaVA-1.5,VASE,True,0.4994266629219055
LLaVA-1.5,VASE,True,0.5000020265579224
LLaVA-1.5,VASE,True,0.2974156141281128
LLaVA-1.5,VASE,True,0.49121546745300293
LLaVA-1.5,VASE,True,0.4999966323375702
LLaVA-1.5,VASE,True,0.49896180629730225
LLaVA-1.5,VASE,True,0.4999004304409027
LLaVA-1.5,VASE,True,0.4999653995037079
LLaVA-1.5,VASE,True,0.4999327063560486
LLaVA-1.5,VASE,True,0.5000026822090149
LLaVA-1.5,VASE,True,0.49995723366737366
LLaVA-1.5,VASE,True,0.49753156304359436
LLaVA-1.5,VASE,True,0.49899834394454956
LLaVA-1.5,VASE,True,0.4967527687549591
LLaVA-1.5,VASE,True,0.4987988770008087
LLaVA-1.5,VASE,True,0.49999842047691345
LLaVA-1.5,VASE,True,0.4993866980075836
LLaVA-1.5,VASE,True,0.49644097685813904
LLaVA-1.5,VASE,True,0.49974220991134644
LLaVA-1.5,VASE,True,0.49408167600631714
LLaVA-1.5,VASE,True,0.4999953806400299
LLaVA-1.5,VASE,True,0.4935542345046997
LLaVA-1.5,VASE,True,0.4987775683403015
LLaVA-1.5,VASE,True,0.49972182512283325
LLaVA-1.5,VASE,True,0.49994686245918274
LLaVA-1.5,VASE,True,0.49999937415122986
LLaVA-1.5,VASE,True,0.49995937943458557
LLaVA-1.5,VASE,True,0.49969249963760376
LLaVA-1.5,VASE,True,0.4879622757434845
LLaVA-1.5,VASE,True,0.49985912442207336
LLaVA-1.5,VASE,False,0.0
LLaVA-1.5,VASE,False,0.0
LLaVA-1.5,VASE,False,0.0
LLaVA-1.5,VASE,False,0.0
LLaVA-1.5,VASE,True,0.3479536473751068
LLaVA-1.5,VASE,True,0.4705296456813812
LLaVA-1.5,VASE,True,0.4892277121543884
LLaVA-1.5,VASE,True,0.4992769956588745
LLaVA-1.5,VASE,True,0.4999934732913971
LLaVA-1.5,VASE,True,0.4999634921550751
LLaVA-1.5,VASE,True,0.4998030960559845
LLaVA-1.5,VASE,True,0.49932122230529785
LLaVA-1.5,VASE,True,0.4955052137374878
LLaVA-1.5,VASE,True,0.480933278799057
LLaVA-1.5,VASE,True,0.2600352466106415
LLaVA-1.5,VASE,True,0.49999967217445374
LLaVA-1.5,VASE,True,0.4997424781322479
LLaVA-1.5,VASE,True,0.41967901587486267
LLaVA-1.5,VASE,True,0.45592477917671204
LLaVA-1.5,VASE,True,0.49999502301216125
LLaVA-1.5,VASE,True,0.4990937113761902
LLaVA-1.5,VASE,True,0.49998530745506287
LLaVA-1.5,VASE,True,0.49585384130477905
LLaVA-1.5,VASE,True,0.4907308518886566
LLaVA-1.5,VASE,True,0.49873077869415283
LLaVA-1.5,VASE,True,0.4989044666290283
LLaVA-1.5,VASE,True,0.46020373702049255
LLaVA-1.5,VASE,True,0.49679121375083923
LLaVA-1.5,VASE,True,0.44501569867134094
LLaVA-1.5,VASE,True,0.4995883107185364
LLaVA-1.5,VASE,True,0.41608691215515137
LLaVA-1.5,VASE,True,0.4999995231628418
LLaVA-1.5,VASE,True,0.4999994933605194
LLaVA-1.5,VASE,True,0.4999982714653015
LLaVA-1.5,VASE,True,0.36700335144996643
LLaVA-1.5,VASE,True,0.4998789131641388
LLaVA-1.5,VASE,True,0.44137662649154663
LLaVA-1.5,VASE,True,0.44709256291389465
LLaVA-1.5,VASE,True,0.49999743700027466
LLaVA-1.5,VASE,True,0.48464062809944153
LLaVA-1.5,VASE,True,0.4170492887496948
LLaVA-1.5,VASE,True,0.4995759129524231
LLaVA-1.5,VASE,True,0.49976837635040283
LLaVA-1.5,VASE,True,0.49999967217445374
LLaVA-1.5,VASE,True,0.49994850158691406
LLaVA-1.5,VASE,True,0.49873992800712585
LLaVA-1.5,VASE,True,0.4999164044857025
LLaVA-1.5,VASE,True,0.49996471405029297
LLaVA-1.5,VASE,True,0.4609648883342743
LLaVA-1.5,VASE,True,0.49999555945396423
LLaVA-1.5,VASE,True,0.4999997317790985
LLaVA-1.5,VASE,True,0.4999783933162689
LLaVA-1.5,VASE,True,0.46931973099708557
LLaVA-1.5,VASE,True,0.4999818801879883
LLaVA-1.5,VASE,True,0.4999838173389435
LLaVA-1.5,VASE,True,0.4962784945964813
LLaVA-1.5,VASE,True,0.4864071011543274
LLaVA-1.5,VASE,True,0.35286572575569153
LLaVA-1.5,VASE,True,0.49999260902404785
LLaVA-1.5,VASE,True,0.4946154057979584
LLaVA-1.5,VASE,True,0.4997347891330719
LLaVA-1.5,VASE,True,0.49998337030410767
LLaVA-1.5,VASE,True,0.4999542236328125
LLaVA-1.5,VASE,True,0.48638105392456055
LLaVA-1.5,VASE,True,0.4929230809211731
LLaVA-1.5,VASE,True,0.4999164342880249
LLaVA-1.5,VASE,True,0.49999502301216125
LLaVA-1.5,VASE,True,0.49988725781440735
LLaVA-1.5,VASE,True,0.4997435212135315
